HOG	OG	Gene Tree Parent Clade	Scerevisiae	Ndairenensis	Smikatae	Skudriavzevii	Tblattae	Suvarum	Tphaffii	Tdelbrueckii	Zrouxii	Vpolyspora	Ecymbalariae	Cglabrata	Kafricana	Egossypii	Knaganishii	Klactis	Lthermotolerans	Lkluyveri	Ncastellii	Lwaltii
N0.HOG0002197	OG0001738	n0	YIL091C	NDAI0B03530	Smik_9.88	Skud_9.82	TBLA0B05970	Suva_9.108	TPHA0D01520	TDEL0G02220	ZYRO0A02002g	Kpol_1039.46	Ecym_3331	CAGL0D04180g	KAFR0J01340	ADL209C	KNAG0A05400	KLLA0E08229g	KLTH0G10494g	SAKL0E07546g	NCAS0B06230	Kwal_27.11503
N0.HOG0002198	OG0001739	n0	YMR077C	NDAI0K02200	Smik_13.260	Skud_13.234	TBLA0I01100	Suva_13.256	TPHA0C04070	TDEL0A02620	ZYRO0G03828g	Kpol_431.3	Ecym_7340	CAGL0D04246g	KAFR0D03290	AGR014W	KNAG0A06680	KLLA0F09295g	KLTH0D04048g	SAKL0H23408g	NCAS0A05350	Kwal_26.7510
N0.HOG0002199	OG0001740	n0	YMR078C	NDAI0H01330	Smik_13.261	Skud_13.235	TBLA0I01110	Suva_13.257	TPHA0C04080	TDEL0A02630	ZYRO0G03806g	Kpol_431.4	Ecym_2429	CAGL0D04268g	KAFR0A01930	ABR019C	KNAG0C05730	KLLA0B13739g	KLTH0D05852g	SAKL0E02486g	NCAS0F00820	Kwal_26.7842
N0.HOG0002200	OG0001741	n0	YMR080C	NDAI0H02120	Smik_13.263	Skud_13.237	TBLA0B05540	Suva_13.259	TPHA0C03950	TDEL0A02660	ZYRO0G03740g	Kpol_337.1	Ecym_2426	CAGL0D04312g	KAFR0A01950	ABR022C	KNAG0C05720	KLLA0B06435g	KLTH0D05786g	SAKL0E02552g	NCAS0A07730	Kwal_26.7828
N0.HOG0002201	OG0001742	n0	YDR016C	NDAI0A05910	Smik_4.250	Skud_4.268	TBLA0I01810	Suva_2.166	TPHA0A04140	TDEL0D03860	ZYRO0A03696g	Kpol_1037.55	Ecym_6032	CAGL0D04394g	KAFR0E01120	AAR185W	KNAG0H01410	KLLA0B06974g	KLTH0C08206g	SAKL0D04268g	NCAS0A10380	Kwal_56.22920
N0.HOG0002202	OG0001743	n0	YDR013W	NDAI0A05950	Smik_4.246	Skud_4.264	TBLA0G02930	Suva_2.161	TPHA0M00810	TDEL0D03900	ZYRO0A03784g	Kpol_1053.4	Ecym_6028	CAGL0D04466g	KAFR0E01080	AAR188W	KNAG0H01450	KLLA0B07095g	KLTH0C08316g	SAKL0D04444g	NCAS0A10340	Kwal_56.22905
N0.HOG0002203	OG0001744	n0	YPR116W	NDAI0A04700	Smik_16.359	Skud_16.404	TBLA0E00610	Suva_16.444	TPHA0D04000	TDEL0F03230	ZYRO0C12650g	Kpol_1018.131	Ecym_4416	CAGL0D04488g	KAFR0A05450	AAR088W	KNAG0A07650	KLLA0D15125g	KLTH0E05500g	SAKL0F06358g	NCAS0A11580	Kwal_55.20543
N0.HOG0002204	OG0001745	n0	YPR118W	NDAI0A04680	Smik_16.361	Skud_16.406	TBLA0E00550	Suva_16.446	TPHA0D03060	TDEL0F03340	ZYRO0C12936g	Kpol_359.2	Ecym_4427	CAGL0D04576g	KAFR0A05430	AAR098W	KNAG0A07670	KLLA0D15455g	KLTH0E05236g	SAKL0F06622g	NCAS0A11600	Kwal_55.20487
N0.HOG0002205	OG0001746	n0	YPR122W	NDAI0A04650	Smik_16.371	Skud_16.412	TBLA0C05450	Suva_16.451	TPHA0D04060	TDEL0F03400	ZYRO0C06336g	Kpol_1050.88	Ecym_4404	CAGL0D04686g	KAFR0A05370	AGR251C	KNAG0A07740	KLLA0D15631g	KLTH0E05104g	SAKL0F06886g	NCAS0A11630	Kwal_55.20464
N0.HOG0002206	OG0001747	n0	YPR131C	NDAI0A04590	Smik_16.377	Skud_16.420	TBLA0C05390	Suva_16.457	TPHA0D03110	TDEL0F03500	ZYRO0B04664g	Kpol_1039.76	Ecym_4443	CAGL0D04796g	KAFR0A05340	ADR038C	KNAG0A07820	KLLA0B11275g	KLTH0F14146g	SAKL0F03630g	NCAS0A11690	Kwal_55.21111
N0.HOG0002207	OG0001748	n0	YPR133C	NDAI0A04570	Smik_16.379	Skud_16.423	TBLA0C05380	Suva_16.460	TPHA0D03140	TDEL0F03530	ZYRO0B04576g	Kpol_1039.73	Ecym_4439	CAGL0D04818g	KAFR0A05320	AAR107W	KNAG0A07800	KLLA0B11209g	KLTH0F14212g	SAKL0F03564g	NCAS0A11710	Kwal_55.21121
N0.HOG0002208	OG0001749	n0	YPR135W	NDAI0A04550	Smik_16.382	Skud_16.426	TBLA0C05350	Suva_16.463	TPHA0D04160	TDEL0F03580	ZYRO0B04466g	Kpol_1050.99	Ecym_4434	CAGL0D04862g	KAFR0A05280	AAR103C	KNAG0A07770	KLLA0B11099g	KLTH0F14322g	SAKL0F03454g	NCAS0A11740	Kwal_55.21133
N0.HOG0002209	OG0001750	n0	YPR137W	NDAI0A04540	Smik_16.383	Skud_16.427	TBLA0C05340	Suva_16.464	TPHA0D04170	TDEL0F03590	ZYRO0B04444g	Kpol_1050.100	Ecym_4433	CAGL0D04884g	KAFR0A05270	AAR102C	KNAG0A07760	KLLA0B11077g	KLTH0F14344g	SAKL0F03432g	NCAS0A11750	Kwal_55.21144
N0.HOG0002210	OG0001751	n0	YPR139C	NDAI0B05750	Smik_16.386	Skud_16.433	TBLA0C05320	Suva_16.467	TPHA0D03180	TDEL0F03620	ZYRO0B04334g	Kpol_505.37	Ecym_4409	CAGL0D04950g	KAFR0B06570	AGR255W	KNAG0A07860	KLLA0B11000g	KLTH0F14454g	SAKL0F03234g	NCAS0F03450	Kwal_55.21160
N0.HOG0002211	OG0001752	n0	YPR143W	NDAI0B05780	Smik_16.390	Skud_16.436	TBLA0C05300	Suva_16.471	TPHA0D03210	TDEL0F03650	ZYRO0B04268g	Kpol_505.40	Ecym_4406	CAGL0D05016g	KAFR0B06600	AGR252C	KNAG0A07890	KLLA0B10934g	KLTH0F14520g	SAKL0F03146g	NCAS0F03480	Kwal_55.21172
N0.HOG0002212	OG0001753	n0	YGR123C	NDAI0B05790	Smik_6.215	Skud_7.432	TBLA0C03950	Suva_7.408	TPHA0D03220	TDEL0D05500	ZYRO0B04224g	Kpol_505.41	Ecym_4413	CAGL0D05060g	KAFR0B06610	AAR083C	KNAG0A07900	KLLA0B10912g	KLTH0F14542g	SAKL0F03102g	NCAS0F03490	Kwal_55.21175
N0.HOG0002213	OG0001754	n0	Scer_YGOB_ADL119W	NDAI0G01990		Skud_6.125	TBLA0J01510	Suva_6.114	TPHA0C04520	TDEL0H02520	ZYRO0D15818g	Kpol_1063.10	Ecym_4381	CAGL0D05148g	KAFR0G02990	ADL119W	KNAG0L01230	KLLA0D16192g	KLTH0E04576g	SAKL0F07480g	NCAS0E01820	Kwal_55.20373, Kwal_YGOB_ADL119W
N0.HOG0002214	OG0001755	n0	YFR034C	NDAI0G02020	Smik_7.352	Skud_6.124	TBLA0J01560	Suva_6.113, Suva_6.110	TPHA0C04480	TDEL0H02560	ZYRO0D15730g	Kpol_1063.15	Ecym_4385	CAGL0D05170g		ADL123C	KNAG0L01210	KLLA0D16115g	KLTH0E04664g	SAKL0F07392g	NCAS0E01860	Kwal_55.20403
N0.HOG0002215	OG0001756	n0	YFR031C	NDAI0G02070	Smik_7.346	Skud_6.119	TBLA0D04610	Suva_6.104	TPHA0C04440	TDEL0H02610	ZYRO0D15642g	Kpol_1063.20	Ecym_4390	CAGL0D05258g	KAFR0G02930	AGR236W	KNAG0L01160	KLLA0D16005g	KLTH0E04774g	SAKL0F07282g	NCAS0E01920	Kwal_55.20421
N0.HOG0002216	OG0001757	n0	YFR030W	NDAI0G02080	Smik_7.345	Skud_6.118	TBLA0D04600	Suva_6.103	TPHA0C01450	TDEL0H02620	ZYRO0D15620g	Kpol_401.11	Ecym_4391	CAGL0D05280g	KAFR0G02920	AGR237C	KNAG0L01150	KLLA0D15983g	KLTH0E04796g	SAKL0F07260g	NCAS0E01930	Kwal_55.20425
N0.HOG0002217	OG0001758	n0	YBR256C	NDAI0E03500	Smik_2.400	Skud_2.389	TBLA0D04570	Suva_4.518	TPHA0C01470	TDEL0H02660	ZYRO0D15532g	Kpol_401.9	Ecym_4395	CAGL0D05302g	KAFR0G02910	AGR241W	KNAG0L01140	KLLA0D15895g	KLTH0E04862g	SAKL0F07150g	NCAS0E01940	Kwal_55.20438
N0.HOG0002218	OG0001759	n0	YBR255C-A	NDAI0E03520	Smik_2.399	Skud_2.388	TBLA0J01610	Suva_4.517	TPHA0C04410	TDEL0H02690	ZYRO0D15466g	Kpol_401.7, Kpol_182.4	Ecym_4398	CAGL0D05318g	KAFR0G02880	AGR244W		KLLA0D15829g	KLTH0E04928g	SAKL0F07084g	NCAS0E01960	Kwal_55.20446
N0.HOG0002219	OG0001760	n0	YBR254C	NDAI0E03540	Smik_2.397	Skud_2.386	TBLA0J01630	Suva_4.515	TPHA0C04390	TDEL0H02710	ZYRO0D15422g	Kpol_182.2	Ecym_4400	CAGL0D05346g	KAFR0G02860	AGR246W	KNAG0L01090	KLLA0D15763g	KLTH0E04972g	SAKL0F07040g	NCAS0E01980	Kwal_55.20450
N0.HOG0002220	OG0001761	n0	YBR253W	NDAI0E03550	Smik_2.396	Skud_2.385	TBLA0J01640	Suva_4.514	TPHA0C01500	TDEL0H02730	ZYRO0D15378g	Kpol_401.5	Ecym_4402	CAGL0D05368g	KAFR0G02850	AGR248C	KNAG0L01080	KLLA0D15719g	KLTH0E05016g	SAKL0F06996g	NCAS0E01990	Kwal_55.20457
N0.HOG0002221	OG0001762	n0	YBR251W	NDAI0E03560	Smik_2.394	Skud_2.383	TBLA0J01670	Suva_4.512	TPHA0C04360	TDEL0H02750	ZYRO0D15334g	Kpol_148.1	Ecym_1256	CAGL0D05412g	KAFR0G02840	AAR027W	KNAG0L01070	KLLA0B11473g	KLTH0F13948g	SAKL0F03850g	NCAS0E02000	Kwal_55.21073
N0.HOG0002222	OG0001763	n0	YGR186W	NDAI0D01910	Smik_6.304	Skud_7.516	TBLA0H02090	Suva_7.479	TPHA0N00620	TDEL0E04360	ZYRO0B10626g	Kpol_478.11	Ecym_7113	CAGL0D05478g	KAFR0D01800	AAL149C	KNAG0H02580	KLLA0F15411g	KLTH0B03586g	SAKL0G13068g	NCAS0A06850	Kwal_33.15101
N0.HOG0002223	OG0001764	n0	YGR187C	NDAI0D01900	Smik_6.305	Skud_7.517	TBLA0H02040	Suva_7.480	TPHA0N00630	TDEL0E04350	ZYRO0B10604g	Kpol_478.12	Ecym_7112	CAGL0D05500g	KAFR0D01810	AAL150W	KNAG0H02570	KLLA0F15433g	KLTH0B03564g	SAKL0G13046g	NCAS0A06840	Kwal_33.15108
N0.HOG0002224	OG0001765	n0	YLL014W	NDAI0D01890	Smik_12.49	Skud_12.53	TBLA0H02030	Suva_10.61	TPHA0N00640	TDEL0E04340	ZYRO0B10582g	Kpol_478.13	Ecym_7111	CAGL0D05522g	KAFR0D01820	AAL151C	KNAG0H02560	KLLA0F15455g	KLTH0B03542g	SAKL0G13024g	NCAS0A06830	Kwal_33.15112
N0.HOG0002225	OG0001766	n0	YLL013C	NDAI0D01880	Smik_12.50	Skud_12.54	TBLA0H02020	Suva_10.62	TPHA0N00650	TDEL0E04330	ZYRO0B10560g	Kpol_478.14	Ecym_7110	CAGL0D05544g	KAFR0D01830	AAL152W	KNAG0H02550	KLLA0F15477g	KLTH0B03520g	SAKL0G13002g	NCAS0A06820	Kwal_33.15113
N0.HOG0002226	OG0001767	n0	YLL011W	NDAI0I02180	Smik_12.52	Skud_12.56	TBLA0H02000	Suva_10.64	TPHA0E03080	TDEL0E04280	ZYRO0B10450g	Kpol_2002.99	Ecym_7105	CAGL0D05588g	KAFR0J00980	AAL157C	KNAG0M01750	KLLA0F15598g	KLTH0B03410g	SAKL0G12892g	NCAS0D02730	Kwal_33.15136
N0.HOG0002227	OG0001768	n0	YLL009C	NDAI0C02500	Smik_12.54	Skud_12.58	TBLA0C06130	Suva_10.66	TPHA0E03040	TDEL0E04240	Zrou_YGOB_Anc_5.205	Kpol_2002.103	Ecym_8287	CAGL0D05632g	KAFR0D01850	AAL161W	KNAG0H02530	KLLA0F15686g	Kthe_YGOB_Anc_5.205	Sklu_YGOB_Anc_5.205	NCAS0A01560	Kwal_33.15148
N0.HOG0002228	OG0001769	n0	YLL006W	NDAI0C02470	Smik_12.57	Skud_12.61	TBLA0C03650	Suva_10.69	TPHA0E03020	TDEL0E04190	ZYRO0B10274g	Kpol_2002.105	Ecym_8282	CAGL0D05698g	KAFR0C06400	AAL166C	KNAG0H02500	KLLA0F15796g	KLTH0B03234g	SAKL0G12716g	NCAS0A01530	Kwal_33.15169
N0.HOG0002229	OG0001770	n0	YLL003W	NDAI0C02430	Smik_12.60	Skud_12.64	TBLA0H02880	Suva_10.73	TPHA0E03000	TDEL0E04140	ZYRO0B10164g	Kpol_2002.108	Ecym_8277	CAGL0D05764g	KAFR0C06360	AAL171W	KNAG0H02460	KLLA0F12958g	KLTH0B03124g	SAKL0G12606g	NCAS0A01490	Kwal_33.15184
N0.HOG0002230	OG0001771	n0	YLL002W	NDAI0K02420	Smik_12.61	Skud_12.65	TBLA0H02870	Suva_10.74	TPHA0N00750	TDEL0E04120	ZYRO0B10120g	Kpol_534.58	Ecym_8275	CAGL0D05786g	KAFR0E01680	AAL173C	KNAG0F02650	KLLA0F12914g	KLTH0B03080g	SAKL0G12562g	NCAS0A05600	Kwal_33.15195
N0.HOG0002231	OG0001772	n0	YLL001W	NDAI0C02270	Smik_12.62	Skud_12.66	TBLA0H02850	Suva_10.75	TPHA0E02980	TDEL0E04110	ZYRO0B10098g	Kpol_2002.110	Ecym_8274	CAGL0D05808g	KAFR0H03650	AAL174C	KNAG0H02320	KLLA0F12892g	KLTH0B03058g	SAKL0G12540g	NCAS0A01180	Kwal_33.15200
N0.HOG0002232	OG0001773	n0	YLR001C	NDAI0C02280	Smik_12.63	Skud_12.67	TBLA0C06210	Suva_10.78	TPHA0N00760	TDEL0E04100	ZYRO0B10054g	Kpol_534.59	Ecym_8273	CAGL0D05852g	KAFR0H03640	ACR029C	KNAG0H02310	KLLA0D09801g	KLTH0B03014g	SAKL0G12496g	NCAS0A01190	Kwal_33.15203
N0.HOG0002233	OG0001774	n0	YGR178C	NDAI0D01970	Smik_6.292	Skud_7.508	TBLA0H02140	Suva_7.471	TPHA0E03180	TDEL0E04460	ZYRO0B10956g	Kpol_2002.88	Ecym_6014	CAGL0D05896g	KAFR0D01740	AAL139C	KNAG0H02640	KLLA0F15158g	KLTH0B03850g	SAKL0G13332g	NCAS0A06910	Kwal_33.15028
N0.HOG0002234	OG0001775	n0	YGR174C	NDAI0D02000	Smik_6.288	Skud_7.503	TBLA0C05990	Suva_7.468	TPHA0E03150	TDEL0E04430	ZYRO0B10890g	Kpol_2002.91	Ecym_6017	CAGL0D05962g	KAFR0D01710	AAL142C	KNAG0H02670	KLLA0F15246g	KLTH0B03762g	SAKL0G13244g	NCAS0A06940	Kwal_33.15049
N0.HOG0002235	OG0001776	n0	YJR052W	NDAI0B01190	Smik_10.333	Skud_10.271	TBLA0B02100	Suva_12.137	TPHA0O00510	TDEL0H01430	ZYRO0C09548g	Kpol_1013.30	Ecym_4751	CAGL0D06006g	KAFR0I02820	ACL088C	KNAG0B00320	KLLA0A07997g	KLTH0C03036g	SAKL0D12188g	NCAS0A13050	Kwal_27.10077
N0.HOG0002236	OG0001777	n0	YJR055W	NDAI0B01130	Smik_10.337	Skud_10.276	TBLA0D03770	Suva_12.141	TPHA0F03470	TDEL0F00610	ZYRO0G04686g	Kpol_1059.6	Ecym_3166	CAGL0D06094g	KAFR0D04470	AFR384W	KNAG0B00290	KLLA0C14564g	KLTH0C02860g	SAKL0D12386g	NCAS0A13080	Kwal_27.10034
N0.HOG0002237	OG0001778	n0	YGL040C	NDAI0D03830	Smik_7.242	Skud_7.243	TBLA0E01590	Suva_7.234	TPHA0C03980	TDEL0F02800	ZYRO0G07106g	Kpol_257.3	Ecym_7339	CAGL0D06138g	KAFR0F03680	AGR015C	KNAG0D03790	KLLA0F09273g	KLTH0D04026g	SAKL0H23430g	NCAS0A01900	Kwal_26.7505
N0.HOG0002238	OG0001779	n0	YGL043W	NDAI0D02790	Smik_7.240	Skud_7.241	TBLA0C04310	Suva_7.232	TPHA0K01860	TDEL0F02840	ZYRO0G07194g	Kpol_1026.15	Ecym_7343	CAGL0D06160g	KAFR0F03160	AGR011W	KNAG0D03260	KLLA0F09361g	KLTH0D04136g	SAKL0H23320g	NCAS0A05840	Kwal_26.7521
N0.HOG0002239	OG0001780	n0	YGL044C	NDAI0D02800	Smik_7.239	Skud_7.240	TBLA0C04320	Suva_7.231	TPHA0K01870	TDEL0F02850	ZYRO0G07216g	Kpol_1026.16	Ecym_7344	CAGL0D06182g	KAFR0F03150	AGR010C	KNAG0D03250	KLLA0F09383g	KLTH0D04158g	SAKL0H23298g	NCAS0A05830	Kwal_26.7522
N0.HOG0002240	OG0001781	n0	YGL047W	NDAI0H00440	Smik_7.236	Skud_7.237	TBLA0B09870	Suva_7.228	TPHA0K01930	TDEL0E05670	ZYRO0G22352g	Kpol_1026.24	Ecym_7284	CAGL0D06270g	KAFR0F03110	AGL042W	KNAG0D03210	KLLA0A04774g	KLTH0D03828g	SAKL0H23650g	NCAS0C05680	Kwal_26.7477
N0.HOG0002241	OG0001782	n0	YLR303W	NDAI0D02880	Smik_12.383	Skud_12.384	TBLA0C04400	Suva_10.397	TPHA0F00420	TDEL0E05620	ZYRO0G22198g	Kpol_1041.44	Ecym_8365	CAGL0D06402g	KAFR0F03070	ADL031W	KNAG0I02920	KLLA0D04037g	KLTH0D03652g	SAKL0H23892g	NCAS0A05810	Kwal_26.7437
N0.HOG0002242	OG0001783	n0	YLR305C	NDAI0D02900	Smik_12.388	Skud_12.388	TBLA0B09950	Suva_10.400	TPHA0F00400	TDEL0E05570	ZYRO0G19888g	Kpol_414.3	Ecym_8369	CAGL0D06446g	KAFR0F03050	ADL033W	KNAG0I02930	KLLA0C17292g	KLTH0D03608g	SAKL0H24068g	NCAS0A05930	Kwal_26.7421
N0.HOG0002243	OG0001784	n0	YLL019C	NDAI0D02970	Smik_12.44	Skud_12.48	TBLA0B10030	Suva_10.55	TPHA0K02030	TDEL0F01550	ZYRO0B00638g	Kpol_1027.1	Ecym_8380	CAGL0D06600g	KAFR0F02730	ADL043C	KNAG0I03000	KLLA0F22297g	KLTH0E07128g	SAKL0H24288g	NCAS0A06000	Kwal_47.17345
N0.HOG0002244	OG0001785	n0	YOR374W	NDAI0A08890	Smik_15.556	Skud_15.541	TBLA0F01820	Suva_8.430	TPHA0N00180	TDEL0H04450	ZYRO0C00484g	Kpol_538.48	Ecym_5004	CAGL0D06688g	KAFR0C04880	ADR417W	KNAG0E00120	KLLA0F00440g	KLTH0D00682g	SAKL0D14806g	NCAS0I00370	Kwal_26.6752
N0.HOG0002245	OG0001786	n0	YCR095C	NDAI0I00290	Smik_3.193	Skud_3.169	TBLA0F00180	Suva_3.133	TPHA0M02130	TDEL0A07920	ZYRO0D17600g	Kpol_1028.10	Ecym_7007	CAGL0E00407g	KAFR0J02580	ABR117C	KNAG0I02630	KLLA0C18777g	KLTH0A07612g	SAKL0A00330g	NCAS0D04670	Kwal_23.6497
N0.HOG0002246	OG0001787	n0	YCR092C	NDAI0I00260	Smik_3.190	Skud_3.166	TBLA0F00230	Suva_3.130	TPHA0H02400	TDEL0A07870	ZYRO0D17490g	Kpol_183.2	Ecym_6039	CAGL0E00473g	KAFR0J02610	ADR168C	KNAG0I02660	KLLA0C18590g	KLTH0A07480g	SAKL0A00462g	NCAS0D04700	Kwal_23.6466
N0.HOG0002247	OG0001788	n0	YCR090C	NDAI0I00240	Smik_3.188	Skud_3.164	TBLA0F00260	Suva_3.126	TPHA0M02050	TDEL0A07830	ZYRO0D17402g	Kpol_1028.19	Ecym_2527	CAGL0E00495g	KAFR0J02630	AGL238W	KNAG0I02680	KLLA0F10153g	KLTH0A07392g	SAKL0A00550g	NCAS0D04720	Kwal_23.6448
N0.HOG0002248	OG0001789	n0	YCR087C-A	NDAI0I00210	Smik_3.185	Skud_3.158	TBLA0F00540	Suva_3.123	TPHA0M02030	TDEL0A07800	ZYRO0D17336g	Kpol_1028.21	Ecym_2525	CAGL0E00517g	KAFR0J02660	AGL236W	KNAG0I02710	KLLA0F10219g	KLTH0A07326g	SAKL0A00616g	NCAS0D04760	Kwal_23.6436
N0.HOG0002249	OG0001790	n0	YCR086W	NDAI0I00200	Smik_3.184	Skud_3.157	TBLA0F00530	Suva_3.122	TPHA0M02020	TDEL0A07790	ZYRO0D17314g	Kpol_1028.22	Ecym_2524	CAGL0E00539g	KAFR0J02670	AGL235C	KNAG0I02720	KLLA0F10241g	KLTH0A07304g	SAKL0A00638g	NCAS0D04770	Kwal_23.6435
N0.HOG0002250	OG0001791	n0	YCR082W	NDAI0I00180	Smik_3.181	Skud_3.154	TBLA0F04270	Suva_3.119	TPHA0M01960	TDEL0A07730	ZYRO0D17182g	Kpol_1028.27	Ecym_2517	CAGL0E00605g	KAFR0F04260	AGL228C	KNAG0I02740	KLLA0F06875g	KLTH0A07216g	SAKL0A00836g	NCAS0D04800	Kwal_23.6417
N0.HOG0002251	OG0001792	n0	YCR081W	NDAI0I00170	Smik_3.180	Skud_3.153	TBLA0F04220	Suva_3.117	TPHA0M01950	TDEL0A07710	ZYRO0C12034g	Kpol_1028.28	Ecym_2515	CAGL0E00627g	KAFR0F04270	AGL226C	KNAG0I02750	KLLA0F06919g	KLTH0A07106g	SAKL0A00902g	NCAS0D04810	Kwal_23.6394
N0.HOG0002252	OG0001793	n0	YCR079W	NDAI0I00160	Smik_3.179	Skud_3.152	TBLA0I02470	Suva_3.116	TPHA0M01920	TDEL0A07680	ZYRO0C11968g	Kpol_1028.31	Ecym_2512	CAGL0E00649g	KAFR0F04280	AGL223C	KNAG0I02760	KLLA0F06985g	KLTH0A07040g	SAKL0A00968g	NCAS0D04820	Kwal_23.6377
N0.HOG0002253	OG0001794	n0	YDR177W	NDAI0A01160	Smik_4.425	Skud_4.441	TBLA0H03130	Suva_2.343	TPHA0L00850	TDEL0F04990	ZYRO0C03784g	Kpol_1030.10	Ecym_6038	CAGL0E00671g	KAFR0B06060	ADR169C	KNAG0A04810	KLLA0C18656g	KLTH0A07546g	SAKL0A00396g	NCAS0B03150	Kwal_23.6485
N0.HOG0002254	OG0001795	n0	YDR175C	NDAI0A01180	Smik_4.423	Skud_4.439	TBLA0H03110	Suva_2.341	TPHA0L00830	TDEL0F04970	ZYRO0C03740g	Kpol_1030.13	Ecym_4193	CAGL0E00715g	KAFR0B06040	AGL140C	KNAG0A04830	KLLA0D18051g	KLTH0F08998g	SAKL0H14212g	NCAS0B03180	Kwal_23.3356
N0.HOG0002255	OG0001796	n0	YDR173C	NDAI0A01200	Smik_4.421	Skud_4.437	TBLA0H01030	Suva_2.339	TPHA0C02470	TDEL0F04950	ZYRO0F14542g	Kpol_1024.25	Ecym_4203	CAGL0E00759g	KAFR0B06020	AGL144C	KNAG0A04850	KLLA0D17402g	KLTH0F09086g	SAKL0H14410g	NCAS0B03200	Kwal_23.3373
N0.HOG0002256	OG0001797	n0	YDR168W	NDAI0J00760	Smik_4.412	Skud_4.426	TBLA0H01080	Suva_2.332	TPHA0A01390	TDEL0F04850	ZYRO0F14278g	Kpol_397.9	Ecym_4213	CAGL0E00913g	KAFR0B05920	AGL154W	KNAG0A04960	KLLA0D17226g	KLTH0G11330g	SAKL0H14674g	NCAS0B03300	Kwal_27.11349
N0.HOG0002257	OG0001798	n0	YDR167W	NDAI0J00790	Smik_4.411	Skud_4.425	TBLA0H01090	Suva_2.331	TPHA0A01400	TDEL0F04840	ZYRO0F14256g	Kpol_397.10	Ecym_4214	CAGL0E00935g	KAFR0B05910	AGL155W	KNAG0A04970	KLLA0D17204g	KLTH0G11352g	SAKL0H14696g	NCAS0B03310	Kwal_27.11345
N0.HOG0002258	OG0001799	n0	YDR166C	NDAI0J00800	Smik_4.410	Skud_4.424	TBLA0H01100	Suva_2.330	TPHA0A01410	TDEL0F04810	ZYRO0F14190g	Kpol_397.11	Ecym_4217	CAGL0E00957g	KAFR0B05900	AGL158C	KNAG0A04980	KLLA0D17138g	KLTH0G11418g	SAKL0H14762g	NCAS0B03320	Kwal_27.11335
N0.HOG0002259	OG0001800	n0	YDR165W	NDAI0J00810	Smik_4.409	Skud_4.423	TBLA0A04150	Suva_2.329	TPHA0C00610	TDEL0F04790	ZYRO0F14146g	Kpol_1036.90	Ecym_4218	CAGL0E00979g	KAFR0B05890	AGL159W	KNAG0A04990	KLLA0D17116g	KLTH0G11462g	SAKL0H14806g	NCAS0B03330	Kwal_27.11327
N0.HOG0002260	OG0001801	n0	YDR164C	NDAI0J00830	Smik_4.408	Skud_4.422	TBLA0H01130	Suva_2.328	TPHA0C00630	TDEL0F04750	ZYRO0F14058g	Kpol_1036.88	Ecym_4221	CAGL0E01001g	KAFR0B05880	AGL162C	KNAG0A05000	KLLA0D17028g	KLTH0G11550g	SAKL0H14894g	NCAS0B03340	Kwal_27.11316
N0.HOG0002261	OG0001802	n0	YDR163W	NDAI0J00840	Smik_4.407	Skud_4.421	TBLA0H01150	Suva_2.327	TPHA0A01450	TDEL0F04690	ZYRO0F13904g	Kpol_2000.3	Ecym_4227	CAGL0E01023g	KAFR0B05870	AGL168W	KNAG0A05010	KLLA0D16896g	Kthe_YGOB_CWC15	SAKL0H15026g	NCAS0B03350	Kwal_27.11299
N0.HOG0002262	OG0001803	n0	YDR162C	NDAI0J00850	Smik_4.406	Skud_4.420	TBLA0H01160	Suva_2.326	TPHA0A01460	TDEL0F04680	ZYRO0F13882g	Kpol_2000.2	Ecym_4228	CAGL0E01045g	KAFR0B05860	AGL169C	KNAG0A05020	KLLA0D16874g	KLTH0G11682g	SAKL0H15048g	NCAS0B03360	Kwal_53.19449
N0.HOG0002263	OG0001804	n0	YDR159W	NDAI0J00880	Smik_4.403	Skud_4.417	TBLA0A04070	Suva_2.322	TPHA0C00720	TDEL0F04640	ZYRO0F13794g	Kpol_1036.78	Ecym_4232	CAGL0E01111g	KAFR0B05840	AGL173W	KNAG0A05060	KLLA0D16775g	KLTH0G11770g	SAKL0H15136g	NCAS0B03390	Kwal_27.11281
N0.HOG0002264	OG0001805	n0	YDR158W	NDAI0J00890	Smik_4.402	Skud_4.416	TBLA0H01200	Suva_2.321	TPHA0A01480	TDEL0F04620	ZYRO0F13750g	Kpol_152.2	Ecym_4234	CAGL0E01133g	KAFR0B05830	AGL175W	KNAG0A05070	KLLA0D16731g	KLTH0G11814g	SAKL0H15180g	NCAS0B03400	Kwal_27.11274
N0.HOG0002265	OG0001806	n0	YDR155C	NDAI0J00910	Smik_4.399	Skud_4.413	TBLA0A04050	Suva_2.317	TPHA0A01490	TDEL0F04600	ZYRO0F13706g	Kpol_344.9	Ecym_4236	CAGL0E01177g	KAFR0B05810	AGL177C	KNAG0A05090	KLLA0D16676g	KLTH0G11880g	SAKL0H15268g	NCAS0B03420	Kwal_27.11265
N0.HOG0002266	OG0001807	n0	YDR152W	NDAI0J00940	Smik_4.397	Skud_4.411	TBLA0A04030	Suva_2.314	TPHA0C00750	TDEL0F04580	ZYRO0F13662g	Kpol_1036.75	Ecym_4263	CAGL0E01221g	KAFR0B05790	AGR045W	KNAG0A05110	KLLA0D16632g	KLTH0G11924g	SAKL0H15312g	NCAS0B03650	Kwal_27.11258
